nazwa_dewelopera;forma_prawna_dewelopera;nr_krs;nr_wpisu_do_ceidg;nr_nip;nr_regon;nr_telefonu;adres_poczty_elektronicznej;nr_faxu;adres_strony_internetowej_dewelopera;wojewodztwo_siedziby;powiat_siedziby;gmina_siedziby;miejscowosc_siedziby;ulica_siedziby;nr_nieruchomosci_siedziby;nr_lokalu_siedziby;kod_pocztowy_siedziby;wojewodztwo_sprzedazy;powiat_sprzedazy;gmina_sprzedazy;miejscowosc_sprzedazy;ulica_sprzedazy;nr_nieruchomosci_sprzedazy;nr_lokalu_sprzedazy;kod_pocztowy_sprzedazy;dodatkowe_lokalizacje_sprzedazy;sposob_kontaktu;wojewodztwo_inwestycji;powiat_inwestycji;gmina_inwestycji;miejscowosc_inwestycji;ulica_inwestycji;nr_nieruchomosci_inwestycji;kod_pocztowy_inwestycji;rodzaj_nieruchomosci;nr_lokalu;cena_m2;data_od_cena_m2;cena_lokalu;data_od_cena_lokalu;cena_laczna;data_od_cena_laczna;rodzaj_czesci;oznaczenie_czesci;cena_czesci;data_od_cena_czesci;rodzaj_pomieszczenia;oznaczenie_pomieszczenia;cena_pomieszczenia;data_od_cena_pomieszczenia;opis_praw;wartosc_praw;data_od_wartosc_praw;inne_swiadczenia;wartosc_innych_swiadczen;data_od_wartosc_innych_swiadczen;link_prospekt
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;6A;10339,43;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;6B;9736,03;2026-03-11;379900,00;2026-03-11;394900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;7A;10339,43;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;7B;9736,03;2026-03-11;379900,00;2026-03-11;394900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;8A;10604,61;2026-03-11;399900,00;2026-03-11;414900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;8B;9992,31;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;9A;11492,04;2026-03-11;519900,00;2026-03-11;534900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;9B;10593,82;2026-03-11;479900,00;2026-03-11;494900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;10A;11294,81;2026-03-11;519900,00;2026-03-11;534900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;10B;10285,04;2026-03-11;479900,00;2026-03-11;494900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;11A;10604,61;2026-03-11;399900,00;2026-03-11;414900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;11B;9992,31;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;12A;10339,43;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;12B;9736,03;2026-03-11;379900,00;2026-03-11;394900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;13A;10339,43;2026-03-11;389900,00;2026-03-11;404900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;13B;9736,03;2026-03-11;379900,00;2026-03-11;394900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;14A;11049,96;2026-03-11;499900,00;2026-03-11;514900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;Lokal mieszkalny;14B;10152,32;2026-03-11;459900,00;2026-03-11;474900,00;2026-03-11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;1A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;1B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;2A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;2B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;3A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;3B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;4A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;4B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;5A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;5B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;6A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;6B;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
Key House Mszczonów;Spółka z Ograniczoną Odpowiedzialnością;1216884;X;5223360040;543746377;784688232;biuro@keyhouse.pl;X;https://www.keyhouse.pl;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;Mazowieckie;Warszawa;Warszawa;Warszawa;Cyprysowa;23;B;02-265;X;e-mail/telefon;Mazowieckie;Żyrardowski;Mszczonów;Mszczonów;Ługowa;X;96-320;X;X;X;X;X;X;X;X;Parking Naziemny;7A;15000.00;2026-03-11;X;X;X;X;X;X;X;X;X;X;www.lumina.keyhouse.pl
